"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Crithmum maritimum,Aerial Parts/Essential Oil,2000,"Giuseppe Ruberto,M. Tiziana Baratta, Stanley G. Deans, H.J. Damien Dorman/2000",AROMADB-CIMAP,"Ruberto, G., Baratta, M. T., Deans, S. G., & Dorman, H. D. (2000). Antioxidant and antimicrobial activity of Foeniculum vulgare and Crithmum maritimum essential oils. Planta medica, 66(08), 687-693."
Litsea cubebe,Fruits_EO,1997,Gogoi_1997,AROMADB-CIMAP,"Gogoi, P., Baruah, P., & Nath, S. C. (1997). Antifungal Activity of the Essential Oil of Litsea cubeba Pers. Journal of Essential Oil Research, 9(2), 213-215."
Bauhinia ungulata,Leaf_EO,2009,Gramosa_2009,AROMADB-CIMAP,"Gogoi, P., Baruah, P., & Nath, S. C. (1997). Antifungal Activity of the Essential Oil of Litsea cubeba Pers. Journal of Essential Oil Research, 9(2), 213-215."
Zingiber officinale,Rhizome_EO,2002,Gurib-Fakim_2002,AROMADB-CIMAP,"Gurib-Fakim, A., Maudarbaccus, N., Leach, D., Doimo, L., & Wohlmuth, H. (2002). Essential oil composition of Zingiberaceae species from Mauritius. Journal of Essential Oil Research, 14(4), 271-273."
Hedychium coccineum,Rhizome_EO,2002,Gurib-Fakim_2002,AROMADB-CIMAP,"Gurib-Fakim, A., Maudarbaccus, N., Leach, D., Doimo, L., & Wohlmuth, H. (2002). Essential oil composition of Zingiberaceae species from Mauritius. Journal of Essential Oil Research, 14(4), 271-273."
Hedychium coronarium,Rhizome_EO,2002,Gurib-Fakim_2002,AROMADB-CIMAP,"Gurib-Fakim, A., Maudarbaccus, N., Leach, D., Doimo, L., & Wohlmuth, H. (2002). Essential oil composition of Zingiberaceae species from Mauritius. Journal of Essential Oil Research, 14(4), 271-273."
Hedychium flavescens,Rhizome_EO,2002,Gurib-Fakim_2002,AROMADB-CIMAP,"Gurib-Fakim, A., Maudarbaccus, N., Leach, D., Doimo, L., & Wohlmuth, H. (2002). Essential oil composition of Zingiberaceae species from Mauritius. Journal of Essential Oil Research, 14(4), 271-273."
Tanaceturn parthenium(L.),"Leaves, buds and flowers/Essential oil",1996,"H. Hendriks,R. Bos and H. .I. Woerdenbag/1996",AROMADB-CIMAP,"Hendriks, H., Bos, R., & Woerdenbag, H. J. (1996). The Essential Oil of Tanacetum parthenium (L.) Schultz?Bip. Flavour and Fragrance Journal, 11(6), 367-371."
Monarda citriodora,Dried plants/Essential oil,2004,H.J. Damien Dorman and Stanley G. Deans/2004,AROMADB-CIMAP,"Dorman, H. D., & Deans, S. G. (2004). Chemical composition, antimicrobial and in vitro antioxidant properties of Monarda citriodora var. citriodora, Myristica fragrans, Origanum vulgare ssp. hirtum, Pelargonium sp. and Thymus zygis oils. Journal of Essential Oil Research, 16(2), 145-150."
Myristica fragrans,Dried plants/Essential oil,2004,H.J. Damien Dorman and Stanley G. Deans/2004,AROMADB-CIMAP,"Dorman, H. D., & Deans, S. G. (2004). Chemical composition, antimicrobial and in vitro antioxidant properties of Monarda citriodora var. citriodora, Myristica fragrans, Origanum vulgare ssp. hirtum, Pelargonium sp. and Thymus zygis oils. Journal of Essential Oil Research, 16(2), 145-150."
