"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Carum carvi,Dry fruits/Essential Oil,2005,"NICOLA S. IACOBELLIs,PIETRO LO CANTORE, FRANCESCO CAPASSO, AND FELICE SENATORE/2005",AROMADB-CIMAP,"Iacobellis, N. S., Lo Cantore, P., Capasso, F., & Senatore, F. (2005). Antibacterial activity of Cuminum cyminum L. and Carum carvi L. essential oils. Journal of agricultural and food chemistry, 53(1), 57-61."
Calendula officinalis L.,Flowers/Essential oil,2003,"Nicoletta Crabas, Bruno Marongiu', Alessandra Piras, Tiziana Pivetta and Silvia Porcedda/2003",AROMADB-CIMAP,"Crabas, N., Marongiu, B., Piras, A., Pivetta, T., & Porcedda, S. (2003). Extraction, separation and isolation of volatiles and dyes from Calendula officinalis L. and Aloysia triphylla (L'Her.) Britton by supercritical CO2. Journal of Essential Oil Research, 15(4), 272-277."
Aloysia triphylla,Leaves/Essential Oil,2003,"Nicoletta Crabas, Bruno Marongiu', Alessandra Piras, Tiziana Pivetta and Silvia Porcedda/2003",AROMADB-CIMAP,"Crabas, N., Marongiu, B., Piras, A., Pivetta, T., & Porcedda, S. (2003). Extraction, separation and isolation of volatiles and dyes from Calendula officinalis L. and Aloysia triphylla (L'Her.) Britton by supercritical CO2. Journal of Essential Oil Research, 15(4), 272-277."
Santalum album L.,Heartwood/ Roots/Essential Oil,2003,"Norbert A. Braun,Manfred Meier and Wilhelm Pickenhagen/2003",AROMADB-CIMAP,"Braun, N. A., Meier, M., & Pickenhagen, W. (2003). Isolation and chiral GC analysis of ?-bisabolols—trace constituents from the essential oil of Santalum album L.(Santalaceae). Journal of Essential Oil Research, 15(2), 63-65."
Centaurea sessilis,Whole Plant/ Essential Oil,2005,"Nurettin Yayli a, Ahmet Yasar, Canan Gulec,   Asu Usta, Sevgi Kolayl, Kamil Coskuncelebi, Sengul Karaoglu/2005",AROMADB-CIMAP,"Yayli, N., Ya?ar, A., Güleç, C., Usta, A., Kolayl?, S., Co?kunçelebi, K., & Karao?lu, ?. (2005). Composition and antimicrobial activity of essential oils from Centaurea sessilis and Centaurea armena. Phytochemistry, 66(14), 1741-1745."
Centaurea armena,Whole Plant/ Essential Oil,2005,"Nurettin Yayli a, Ahmet Yasar, Canan Gulec,   Asu Usta, Sevgi Kolayl, Kamil Coskuncelebi, Sengul Karaoglu/2005",AROMADB-CIMAP,"Yayli, N., Ya?ar, A., Güleç, C., Usta, A., Kolayl?, S., Co?kunçelebi, K., & Karao?lu, ?. (2005). Composition and antimicrobial activity of essential oils from Centaurea sessilis and Centaurea armena. Phytochemistry, 66(14), 1741-1745."
Centella asiatica,Dried plant/Essential Oil,2005,O.A. Oyedeji and A.J. Afolayan/2005,AROMADB-CIMAP,"Oyedeji, O. A., & Afolayan, A. J. (2005). Chemical composition and antibacterial activity of the essential oil of Centella asiatica. Growing in South Africa. Pharmaceutical biology, 43(3), 249-252."
Hibiscus surrattensis,Leaf_EO,2014,Ogundajo_2014,AROMADB-CIMAP,"Ogundajo, A. L., Ogunwande, I. A., Bolarinwa, T. M., Joseph, O. R., & Flamini, G. (2014). Essential oil of the leaves of Hibiscus surattensis L. from Nigeria. Journal of Essential Oil Research, 26(2), 114-117."
Eugenia uniflora,Leaf_EO,2005,Ogunwande_2005,AROMADB-CIMAP,"Ogunwande, I. A., Olawore, N. O., Ekundayo, O., Walker, T. M., Schmidt, J. M., & Setzer, W. N. (2005). Studies on the essential oils composition, antibacterial and cytotoxicity of Eugenia uniflora L. International journal of Aromatherapy, 15(3), 147-152."
Eugenia uniflora,Fruit_EO,2005,Ogunwande_2005,AROMADB-CIMAP,"Ogunwande, I. A., Olawore, N. O., Ekundayo, O., Walker, T. M., Schmidt, J. M., & Setzer, W. N. (2005). Studies on the essential oils composition, antibacterial and cytotoxicity of Eugenia uniflora L. International journal of Aromatherapy, 15(3), 147-152."
Cymbopogon winterianus,EO,2011,Oliveira_2011,AROMADB-CIMAP,"Oliveira, W. A. D., Pereira, F. D. O., Luna, G. C. D. G. D., Lima, I. O., Wanderley, P. A., Lima, R. B. D., & Lima, E. D. O. (2011). Antifungal activity of Cymbopogon winterianus Jowitt ex Bor against Candida albicans. Brazilian Journal of Microbiology, 42, 433-441."
      Callistemon citrinus,Leaves/Essential Oil,2009,"Opeoluwa O. Oyedeji , Oladipupo. A. Lawal, Francis. O. Shode and Adebola. O. Oyedeji/2009",AROMADB-CIMAP,"Oyedeji, O. O., Lawal, O. A., Shode, F. O., & Oyedeji, A. O. (2009). Chemical composition and antibacterial activity of the essential oils of Callistemon citrinus and Callistemon viminalis from South Africa. Molecules, 14(6), 1990-1998."
Callistemon viminalis,Leaves/Essential Oil,2009,"Opeoluwa O. Oyedeji , Oladipupo. A. Lawal, Francis. O. Shode and Adebola. O. Oyedeji/2009",AROMADB-CIMAP,"Oyedeji, O. O., Lawal, O. A., Shode, F. O., & Oyedeji, A. O. (2009). Chemical composition and antibacterial activity of the essential oils of Callistemon citrinus and Callistemon viminalis from South Africa. Molecules, 14(6), 1990-1998."
Lawsonia inermis,Leaf_EO,2005,Oyedeji_2005,AROMADB-CIMAP,"Oyedeji, A. O., Ekundayo, O., & Koenig, W. A. (2005). Essential oil composition of Lawsonia inermis L. leaves from Nigeria. Journal of Essential Oil Research, 17(4), 403-404."
Anaphalis contorta,Aerial part_EO,2008,Pande_2008,AROMADB-CIMAP,"Pande, C., Joshi, R. K., & Sammal, S. S. (2008). Chemical Composition of the Essential Oil of Anaphalis contorta Hook f. Journal of Essential Oil Research, 20(5), 444-445."
Artenisia dracunculus var. dracunculus,Leaf_Flower_EO,2001,Pappas_2001,AROMADB-CIMAP,"Pappas, R. S., & Sturtz, G. (2001). Unusual alkynes found in the essential oil of Artemisia dracunculus L. var. dracunculus from the Pacific Northwest. Journal of Essential Oil Research, 13(3), 187-188."
Vetiveria nigritana,Roots/Essential Oil,2007,"Pascal Champagnat, Lassine Sidibé , Christiane Forestier , Andrée Carnat, Jean-Claude Chalchat, Jean-Louis Lamaison/ 2007",AROMADB-CIMAP,"Champagnat, P., Sidibé, L., Forestier, C., Carnat, A., Chalchat, J. C., & Lamaison, J. L. (2007). Antimicrobial activity of essential oils from Vetiveria nigritana and Vetiveria zizanioides roots. Journal of Essential Oil Bearing Plants, 10(6), 519-524."
Vetiveria zizanioides,Roots/Essential Oil,2007,"Pascal Champagnat, Lassine Sidibé , Christiane Forestier , Andrée Carnat, Jean-Claude Chalchat, Jean-Louis Lamaison/ 2007",AROMADB-CIMAP,"Champagnat, P., Sidibé, L., Forestier, C., Carnat, A., Chalchat, J. C., & Lamaison, J. L. (2007). Antimicrobial activity of essential oils from Vetiveria nigritana and Vetiveria zizanioides roots. Journal of Essential Oil Bearing Plants, 10(6), 519-524."
Cymbopogan citratus,Aerial_EO,2012,Piauru_2012,AROMADB-CIMAP,"Piaru, S. P., Perumal, S., Cai, L. W., Mahmud, R., Majid, A. M. S. A., Ismail, S., & Man, C. N. (2012). Chemical composition, anti-angiogenic and cytotoxicity activities of the essential oils of Cymbopogan citratus (lemon grass) against colorectal and breast carcinoma cell lines. Journal of Essential Oil Research, 24(5), 453-459."
Coriandrum sativum L.,Dried fruit/Essential Oil ,2004,"PIETRO LO CANTORE,NICOLA S. IACOBELLIS,ADRIANA DE MARCO,FRANCESCO CAPASSO,AND FELICE SENATORE/2004",AROMADB-CIMAP,"Lo Cantore, P., Iacobellis, N. S., De Marco, A., Capasso, F., & Senatore, F. (2004). Antibacterial activity of Coriandrum sativum L. and Foeniculum vulgare Miller var. vulgare (Miller) essential oils. Journal of agricultural and food chemistry, 52(26), 7862-7866."
Foeniculum vulgare Miller Var. vulgare,Dried fruit/Essential Oil ,2004,"PIETRO LO CANTORE,NICOLA S. IACOBELLIS,ADRIANA DE MARCO,FRANCESCO CAPASSO,AND FELICE SENATORE/2004",AROMADB-CIMAP,"Lo Cantore, P., Iacobellis, N. S., De Marco, A., Capasso, F., & Senatore, F. (2004). Antibacterial activity of Coriandrum sativum L. and Foeniculum vulgare Miller var. vulgare (Miller) essential oils. Journal of agricultural and food chemistry, 52(26), 7862-7866."
Chrysanthemum coronarium,Flowerhead/Essential oil. ,2000,"Pino P. Alvarez Castellanos,Cris D. Bishop, Maria J. Pascual- Villalobos/2000",AROMADB-CIMAP,"Alvarez-Castellanos, P. P., Bishop, C. D., & Pascual-Villalobos, M. J. (2001). Antifungal activity of the essential oil of flowerheads of garland chrysanthemum (Chrysanthemum coronarium) against agricultural pathogens. Phytochemistry, 57(1), 99-102."
Mentha spicata,Leaf_Stalk_EO,1998,Pino_1998,AROMADB-CIMAP,"Pino, J. A., Rosado, A., & Sánchez, E. (1998). Essential oil of Mentha spicata L. from Cuba. Journal of Essential Oil Research, 10(6), 657-659."
Allium fistulosum,Leaf_Stalk_EO,2000,Pino_2000,AROMADB-CIMAP,"Pino, J. A., Rosado, A., & Fuentes, V. (2000). Volatile flavor compounds from Allium fistulosum L. Journal of Essential Oil Research, 12(5), 553-555."
Amyris elimifera,Leaf_EO,2000,Pino_2000,AROMADB-CIMAP,"Pino, J. A., Rosado, A., Bello, A., Urquiola, A., & Garcia, S. (2000). Essential oil of Amyris elimifera L. from Cuba. Journal of Essential Oil Research, 12(1), 39-40."
Annona cherimoya,Fruit_EO,2000,Pino_2000,AROMADB-CIMAP,"Pino, J. A. (2000). Volatile components of Cuban Annona fruits. Journal of Essential Oil Research, 12(5), 613-616."
Annona reticulata,Fruit_EO,2000,Pino_2000,AROMADB-CIMAP,"Pino, J. A. (2000). Volatile components of Cuban Annona fruits. Journal of Essential Oil Research, 12(5), 613-616."
Chamomilla recutita,Flowers_EO,2002,Pino_2002,AROMADB-CIMAP,"Pino, J. A., Bayat, F., Marbot, R., & Aguero, J. (2002). Essential oil of chamomile Chamomilla recutita (L.) Rausch. from Iran. Journal of Essential Oil Research, 14(6), 407-408."
Bixa orellana,Seed_EO,2003,Pino_2003,AROMADB-CIMAP,"Pino, J. A., & Correa, M. T. (2003). Chemical composition of the essential oil from annatto (Bixa orellana L.) seeds. Journal of Essential Oil Research, 15(2), 66-67."
Achillea Ageratum L,Aerial parts/Essential Oil,1996,"R. de la Puerta, M. T. Saenz and M. D. Garcia/1996",AROMADB-CIMAP,"De La Puerta, 1. _., Saenz, M. T., & Garcia, M. D. (1996). Antibacterial activity and composition of the volatile oil from Achillea ageratum L. Phytotherapy Research, 10(3), 248-250."
Nyctanthes arbor-tristis,Petal_EO,2011,Rahman_2011,AROMADB-CIMAP,"Rahman, M. M., Roy, S. K., Husain, M., & Shahjahan, M. (2011). Chemical constituents of essential oil of petals and corolla tubes of Nyctanthes Arbor-Tristis Linn flower. Journal of Essential Oil Bearing Plants, 14(6), 717-721."
Nyctanthes arbor-tristis,CorollaTube_EO,2011,Rahman_2011,AROMADB-CIMAP,"Rahman, M. M., Roy, S. K., Husain, M., & Shahjahan, M. (2011). Chemical constituents of essential oil of petals and corolla tubes of Nyctanthes Arbor-Tristis Linn flower. Journal of Essential Oil Bearing Plants, 14(6), 717-721."
CRASSOCEPHALUM CREPIDIOIDES,Roots/Essential Oil,2014,RAJESH K. JOSHI/2014,AROMADB-CIMAP,"Joshi, R. K. (2014). Study on essential oil composition of the roots of Crassocephalum crepidioides (Benth.) S. Moore. Journal of the Chilean Chemical Society, 59(1), 2363-2365."
Ocimum sanctum,Leaf_EO,1999,Raju_1999,AROMADB-CIMAP,"Raju, P. M., Ali, M., Velasco-Negueruela, A., & Pérez-Alonso, M. J. (1999). Volatile constituents of the leaves of Ocimum sanctum L. Journal of Essential Oil Research, 11(2), 159-161."
Ravensara aromatica,Leaf_EO,2006,Ramanoelina_2006,AROMADB-CIMAP,"Ramanoelina, P. A., Rasoarahona, J. R. E., & Gaydou, E. M. (2006). Chemical composition of Ravensara aromatica Sonn. leaf essential oils from Madagascar. Journal of Essential Oil Research, 18(2), 215-217."
Tagetes minuta,Leaf_EO,1999,Rao_1999,AROMADB-CIMAP,"Prakasa Rao, E. V. S., Syamasundar, K. V., Gopinath, C. T., & Ramesh, S. (1999). Agronomical and chemical studies on Tagetes minuta grown in a red soil of a semiarid tropical region in India. Journal of Essential Oil Research, 11(2), 259-261."
Tagetes minuta,Flower_EO,1999,Rao_1999,AROMADB-CIMAP,"Prakasa Rao, E. V. S., Syamasundar, K. V., Gopinath, C. T., & Ramesh, S. (1999). Agronomical and chemical studies on Tagetes minuta grown in a red soil of a semiarid tropical region in India. Journal of Essential Oil Research, 11(2), 259-261."
Mentha arvensis L f piperascens,Whole plant_EO,1999,Rao_1999,AROMADB-CIMAP,"Rajeswara Rao, B. R., Kaul, P. N., Mallavarapu, G. R., & Ramesh, S. (2000). Comparative composition of whole herb, flowers, leaves and stem oils of cornmint (Mentha arvensis Lf piperascens Malinvaud ex Holmes). Journal of Essential Oil Research, 12(3), 357-359."
Mentha arvensis L f piperascens,Flowers_EO,1999,Rao_1999,AROMADB-CIMAP,"Rajeswara Rao, B. R., Kaul, P. N., Mallavarapu, G. R., & Ramesh, S. (2000). Comparative composition of whole herb, flowers, leaves and stem oils of cornmint (Mentha arvensis Lf piperascens Malinvaud ex Holmes). Journal of Essential Oil Research, 12(3), 357-359."
Mentha arvensis L f piperascens,Leaf_EO,1999,Rao_1999,AROMADB-CIMAP,"Rajeswara Rao, B. R., Kaul, P. N., Mallavarapu, G. R., & Ramesh, S. (2000). Comparative composition of whole herb, flowers, leaves and stem oils of cornmint (Mentha arvensis Lf piperascens Malinvaud ex Holmes). Journal of Essential Oil Research, 12(3), 357-359."
Mentha arvensis L f piperascens,Stem_EO,1999,Rao_1999,AROMADB-CIMAP,"Rajeswara Rao, B. R., Kaul, P. N., Mallavarapu, G. R., & Ramesh, S. (2000). Comparative composition of whole herb, flowers, leaves and stem oils of cornmint (Mentha arvensis Lf piperascens Malinvaud ex Holmes). Journal of Essential Oil Research, 12(3), 357-359."
Artemisia annua,Bangalore_WholePlant_EO,2014,Rao_2014,AROMADB-CIMAP,"Rao, B. R., Syamasundar, K. V., & Patel, R. P. (2014). Chemical profile characterization of Artemisia annua L. essential oils from south India through GC-FID and GC-MS analyses. Journal of Essential Oil Bearing Plants, 17(6), 1249-1256."
Artemisia annua,Hyderabad_WholePlant_EO,2014,Rao_2014,AROMADB-CIMAP,"Rao, B. R., Syamasundar, K. V., & Patel, R. P. (2014). Chemical profile characterization of Artemisia annua L. essential oils from south India through GC-FID and GC-MS analyses. Journal of Essential Oil Bearing Plants, 17(6), 1249-1256."
Vetiveria zizanioides (L.),Roots/Essential Oil,2005,"Robin A. Clery,Christopher J. Hammond and Anthony C. Wright/2005",AROMADB-CIMAP,"Clery, R. A., Hammond, C. J., & Wright, A. C. (2005). Nitrogen compounds from Haitian vetiver oil. Journal of Essential Oil Research, 17(6), 591-592."
Abies cephalonica,Leaf_EO,2000,Roussis_2000,AROMADB-CIMAP,"Roussis, V., Couladis, M., Tzakou, O., Loukis, A., Petrakis, P. V., Dukic, N. M., & Jancic, R. (2000). A comparative study on the needle volatile constituents of three Abies species grown in South Balkans. Journal of Essential Oil Research, 12(1), 41-46."
Abies borisli regis,Leaf_EO,2000,Roussis_2000,AROMADB-CIMAP,"Roussis, V., Couladis, M., Tzakou, O., Loukis, A., Petrakis, P. V., Dukic, N. M., & Jancic, R. (2000). A comparative study on the needle volatile constituents of three Abies species grown in South Balkans. Journal of Essential Oil Research, 12(1), 41-46."
Abies alba,Leaf_EO,2000,Roussis_2000,AROMADB-CIMAP,"Roussis, V., Couladis, M., Tzakou, O., Loukis, A., Petrakis, P. V., Dukic, N. M., & Jancic, R. (2000). A comparative study on the needle volatile constituents of three Abies species grown in South Balkans. Journal of Essential Oil Research, 12(1), 41-46."
Amomum subulatum,Seed_EO,2003,Rout_2003,AROMADB-CIMAP,"Rout, P. K., Sahoo, D., Jena, K. S., & Rao, Y. R. (2003). Analysis of the oil of large cardamom (Amomum subulatum Roxb.,) growing in Sikkim. Journal of Essential Oil Research, 15(4), 265-266."
Satureja hortensis L,Essential Oil ,1989,S. G. DEANS and KATERINA P. SVOBODA /1989,AROMADB-CIMAP,"Deans, S. G., & Svoboda, K. P. (1989). Antibacterial activity of summer savory (Satureja hortensis L) essential oil and its constituents. Journal of Horticultural Science, 64(2), 205-210."
Hyssopus officinalis,Shoot/Essential Oil,1999,"S. N. Garg, A. A. Naqvi, Archana Singh, Govind Ram and Sushil Kumar/1999",AROMADB-CIMAP,"Garg, S. N., Naqvi, A. A., Singh, A., Ram, G., & Kumar, S. (1999). Composition of essential oil from an annual crop of Hyssopus officinalis grown in Indian plains. Flavour and fragrance journal, 14(3), 170-172."
Alpinia zerumbet,Rhizomes/essential oil,2002,"Sadaquat Ali, Subramaniam Sotheeswaran, Marika Tuiwawa& Roger M. Smith/2011",AROMADB-CIMAP,"Ali, S., Sotheeswaran, S., Tuiwawa, M., & Smith, R. M. (2002). Comparison of the composition of the essential oils of Alpinia and Hedychium species—essential oils of Fijian plants, part 1. Journal of Essential Oil Research, 14(6), 409-411."
Alpinia zerumbet,Leaves/Essential Oil,2002,"Sadaquat Ali, Subramaniam Sotheeswaran, Marika Tuiwawa& Roger M. Smith/2011",AROMADB-CIMAP,"Ali, S., Sotheeswaran, S., Tuiwawa, M., & Smith, R. M. (2002). Comparison of the composition of the essential oils of Alpinia and Hedychium species—essential oils of Fijian plants, part 1. Journal of Essential Oil Research, 14(6), 409-411."
Alpinia purpurata(RED),Rhizomes/Essential Oil,2002,"Sadaquat Ali, Subramaniam Sotheeswaran, Marika Tuiwawa& Roger M. Smith/2011",AROMADB-CIMAP,"Ali, S., Sotheeswaran, S., Tuiwawa, M., & Smith, R. M. (2002). Comparison of the composition of the essential oils of Alpinia and Hedychium species—essential oils of Fijian plants, part 1. Journal of Essential Oil Research, 14(6), 409-411."
Alpinia purpurata(RED),Leaves/Essential Oil,2002,"Sadaquat Ali, Subramaniam Sotheeswaran, Marika Tuiwawa& Roger M. Smith/2011",AROMADB-CIMAP,"Ali, S., Sotheeswaran, S., Tuiwawa, M., & Smith, R. M. (2002). Comparison of the composition of the essential oils of Alpinia and Hedychium species—essential oils of Fijian plants, part 1. Journal of Essential Oil Research, 14(6), 409-411."
Alpinia purpurata(RED),Flowers/Essential Oil,2002,"Sadaquat Ali, Subramaniam Sotheeswaran, Marika Tuiwawa& Roger M. Smith/2011",AROMADB-CIMAP,"Ali, S., Sotheeswaran, S., Tuiwawa, M., & Smith, R. M. (2002). Comparison of the composition of the essential oils of Alpinia and Hedychium species—essential oils of Fijian plants, part 1. Journal of Essential Oil Research, 14(6), 409-411."
Alpinia purpurata(PINK),Rhizomes/Essential Oil,2002,"Sadaquat Ali, Subramaniam Sotheeswaran, Marika Tuiwawa& Roger M. Smith/2011",AROMADB-CIMAP,"Ali, S., Sotheeswaran, S., Tuiwawa, M., & Smith, R. M. (2002). Comparison of the composition of the essential oils of Alpinia and Hedychium species—essential oils of Fijian plants, part 1. Journal of Essential Oil Research, 14(6), 409-411."
Alpinia purpurata(PINK),Leaves/Essential Oil,2002,"Sadaquat Ali, Subramaniam Sotheeswaran, Marika Tuiwawa& Roger M. Smith/2011",AROMADB-CIMAP,"Ali, S., Sotheeswaran, S., Tuiwawa, M., & Smith, R. M. (2002). Comparison of the composition of the essential oils of Alpinia and Hedychium species—essential oils of Fijian plants, part 1. Journal of Essential Oil Research, 14(6), 409-411."
